reward,loss,timesteps
210,1083.1039,1110720
220,377.7963,1113421
222,474.6408,1115467
227,5288.9243,1117108
250,3270.7988,1119149
242,2252.9563,1121435
238,245.83371,1123602
227,1773.1615,1124950
223,507.41406,1127909
212,1093.606,1129463
219,1257.6022,1131108
219,508.59134,1133431
201,491.71622,1135563
202,427.82153,1137182
213,2129.1155,1139414
191,1314.6304,1141527
197,455.83295,1143643
197,451.073,1146020
212,1317.3433,1148065
212,1111.0814,1150194
214,1129.4728,1151655
212,1310.4071,1153797
210,416.5385,1156152
214,572.6056,1158018
215,529.28033,1160161
208,1331.3524,1162536
200,4273.862,1164121
212,1168.1565,1166138
222,5853.017,1168231
224,463.37585,1170418
222,693.84296,1172122
231,831.1873,1174479
224,508.64526,1176808
224,1471.9093,1179153
221,1325.2582,1180613
225,961.0658,1182664
221,568.6337,1184680
226,1071.3384,1186991
210,601.47076,1188420
205,285.91602,1190920
190,256.6665,1193126
186,1106.4631,1194957
198,362.34985,1196998
200,475.11377,1198978
196,576.39404,1201334
192,710.9964,1202991
187,1026.6655,1205148
186,1194.1814,1206989
193,1402.1986,1209266
186,660.463,1211637
182,614.6092,1213393
191,4113.8164,1214836
219,1605.1595,1218001
200,424.16473,1219804
213,1943.6477,1221637
212,392.81815,1223807
213,564.53186,1225677
223,947.6529,1227775
206,347.69934,1230252
199,738.853,1231672
211,571.79224,1233920
207,530.3298,1235882
187,1072.2842,1238035
184,300.11548,1239890
201,563.14294,1242101
183,2492.3596,1243874
193,1090.1566,1246358
203,1206.238,1248014
197,412.0683,1249843
206,1580.217,1252190
204,457.98572,1254694
204,1039.3389,1256482
212,1107.8953,1258624
203,1963.9501,1260365
226,507.43604,1262543
208,1123.218,1264473
226,1067.364,1266828
220,1053.687,1269106
218,2692.2896,1270748
223,532.96375,1272835
213,1592.8452,1274613
240,3325.7637,1277183
240,1255.7542,1278501
244,788.5727,1281082
229,825.5017,1282517
219,2052.414,1284679
226,965.0628,1286820
228,1774.0645,1289002
224,603.7345,1291401
215,416.77536,1293485
212,976.1322,1295097
219,2135.5303,1297639
196,736.3926,1299488
197,577.8656,1300930
212,2851.203,1303329
211,3061.7422,1305321
238,1303.3049,1307001
230,476.61682,1309767
220,556.7737,1311549
229,5898.227,1312898
246,305.927,1315967
245,1197.7385,1318067
254,1096.963,1319971
239,488.04413,1322204
237,1524.0665,1324125
245,1682.194,1326220
226,212.27936,1328296
208,1146.5288,1329870
204,590.04614,1331765
213,478.29892,1333807
193,870.2545,1336046
189,1368.4266,1338082
197,895.62634,1340422
187,1035.1388,1342214
189,4012.5415,1344554
193,452.36658,1346626
192,1721.343,1348652
189,898.30853,1350846
200,2368.2334,1352565
204,717.9092,1354832
197,331.259,1356892
200,1436.2349,1358775
199,528.1012,1360927
182,293.27185,1363164
183,933.0008,1365099
171,981.47516,1366913
173,401.0002,1369347
176,1547.675,1371169
176,1142.6376,1373194
162,394.617,1374696
163,1541.6509,1377256
164,412.95084,1379383
158,441.68988,1381255
155,578.3371,1383612
184,3108.4023,1385746
179,678.9741,1387814
177,1271.4165,1389421
176,548.29095,1391307
176,375.44678,1393674
176,435.18402,1395773
171,257.4608,1398138
164,4907.689,1399528
